IRONSTL production by tech,,,,,,,,,,,,,,,,,,,,
"0_1p5C,date=2021-20-10T07:49:36-07:42",Brazil,iron and steel,BLASTFUR,iron and steel,BLASTFUR with hydrogen,0,0,0,0,0,0.039342,0.1804719,0.3223407,0.30895944,0.18519191,0.037045263,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:43",Brazil,iron and steel,BLASTFUR,iron and steel,Biomass-based,0,0,0,0,0.00426969,0.30212373,0.68243873,0.708661734,0.4699757,0.20743344,0.032861527,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:44",Brazil,iron and steel,EAF with DRI,iron and steel,EAF with DRI,3.99,5.29,5.94,5.11,5.0992,5.983501,5.649181,4.694814,3.850799,2.64349,0.5097073,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:45",Brazil,iron and steel,EAF with DRI,iron and steel,EAF with DRI CCS,0,0,0,0,0,0.500645,1.427401,2.436067,3.4603902,5.215788,6.394739,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:46",Brazil,iron and steel,EAF with DRI,iron and steel,Hydrogen-based DRI,0,0,0,0,0,1.20807,4.931133,8.145792,10.003777,13.982619,20.037553,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:47",Brazil,iron and steel,EAF with scrap,iron and steel,EAF with scrap,1.26,1.67,1.87,1.61,1.719896,2.827313,4.501294,5.5618225,6.065375,6.708024,6.285351,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:48",Canada,iron and steel,BLASTFUR,iron and steel,BLASTFUR,8.77,8.97,7.65,6.72,7.30354,5.688825,3.296168,1.29567,0.5320173,0.143488771,5.55E-04,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:49",Canada,iron and steel,BLASTFUR,iron and steel,BLASTFUR CCS,0,0,0,0,0,0.112828,0.5554039,1.2358866,1.4651654,1.0242304,0.5319141,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:50",Canada,iron and steel,BLASTFUR,iron and steel,BLASTFUR with hydrogen,0,0,0,0,0,0.00375765,0.01357084,0.02260475,0.019801647,0.008730542,6.15E-05,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:51",Canada,iron and steel,BLASTFUR,iron and steel,Biomass-based,0,0,0,0,7.26E-04,0.028408799,0.054592049,0.05355991,0.03372288,0.012681649,7.35E-05,0,0,0,Mt
