"","region","scenario","sector","subsector","output","technology","Units","year","value"
"250","EU-27","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-CCUS","Mt",2030,0
"251","EU-27","1p5","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2030,0.712927
"252","EU-27","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2030,2.481923
"253","EU-27","Ref","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2030,0.54091283
"254","EU-27","1p5","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2030,20.087943
"255","EU-27","1p5 delay","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2030,28.279083
"256","EU-27","Ref","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2030,28.276319
"257","EU-27","1p5","iron and steel","EAF with DRI","iron and steel","DRI-EAF-CCUS","Mt",2030,3.668188
"258","EU-27","1p5 delay","iron and steel","EAF with DRI","iron and steel","DRI-EAF-CCUS","Mt",2030,0
"259","EU-27","1p5","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2030,54.522939
"260","EU-27","1p5 delay","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2030,49.057944
"261","EU-27","Ref","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2030,40.51992
"262","EU-27","1p5","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2030,7.7549954
"263","EU-27","1p5 delay","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2030,4.2852618
"264","EU-27","Ref","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2030,0.61411968
"265","EU-27","1p5","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2035,0.55298062
"266","EU-27","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2035,0.4403137
"267","EU-27","Ref","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2035,0.620588152
"268","EU-27","1p5","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2035,10.902372
"269","EU-27","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2035,45.966497
