IRONSTL production by tech
"1p5C_1,date=2021-14-10T09:10:30-07:00",Central Asia,iron and steel,EAF with scrap,iron and steel,EAF with scrap,0.0642,0.1802,0.4018,0.2668,0.361313,0.3452697,0.4640347,0.6822516000000001,0.9993624999999999,1.0757592,0.7595204,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",China,iron and steel,BLASTFUR,iron and steel,BLASTFUR,98.9,314.0,572.0,756.0,981.49,782.283,458.0362,136.03666,8.662821399999999,0.028870885,5.51397251E-5,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",China,iron and steel,BLASTFUR,iron and steel,BLASTFUR CCS,0.0,0.0,0.0,0.0,0.0,29.4972,188.93179999999998,343.5004,274.38721,159.4561,51.92906,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",China,iron and steel,BLASTFUR,iron and steel,BLASTFUR with hydrogen,0.0,0.0,0.0,0.0,0.0,2.71778,11.17156,13.11415,5.401998,0.07882333999999999,3.37913227E-4,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",China,iron and steel,BLASTFUR,iron and steel,Biomass-based,0.0,0.0,0.0,0.0,0.486494,9.019924999999999,17.247898,14.516782500000001,6.1706869,0.07730890900000001,1.16843713E-4,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",China,iron and steel,EAF with DRI,iron and steel,EAF with DRI,0.922,2.09,3.32,2.37,1.6818140000000001,1.546865,1.2050816,0.50730769,0.083682116,0.0018156896400000001,1.853320339E-5,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",China,iron and steel,EAF with DRI,iron and steel,EAF with DRI CCS,0.0,0.0,0.0,0.0,0.0,0.466561,1.4617580000000001,2.0413953,2.7076357,1.424826,0.3414395,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",China,iron and steel,EAF with DRI,iron and steel,Hydrogen-based DRI,0.0,0.0,0.0,0.0,0.0,1.2184,4.607653,8.056291,13.870218000000001,18.612513999999997,26.604596,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",China,iron and steel,EAF with scrap,iron and steel,EAF with scrap,17.5,39.7,63.0,45.1,73.2782,129.69639999999998,237.13559,337.86963000000003,457.1697,499.1001,499.3538,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Colombia,iron and steel,BLASTFUR,iron and steel,BLASTFUR,0.255,0.335,0.34,0.241,0.2637683,0.04042796,0.008240549,4.388301E-4,4.1013338E-6,1.03056338E-7,3.71201E-9,0.0,0.0,0.0,Mt,
