"","region","year","value","scenario","sector","Units"
"301","US",2030,83.88865008,"Material efficiency and price increase","iron and steel","Mt"
"302","US",2030,96.2387977,"Reference","iron and steel","Mt"
"303","US",2030,86.66872447,"Material efficiency","iron and steel","Mt"
"304","US",2035,82.878888231,"Material efficiency and price increase","iron and steel","Mt"
"305","US",2035,98.301358327,"Reference","iron and steel","Mt"
"306","US",2035,85.598774359,"Material efficiency","iron and steel","Mt"
"307","US",2040,81.52850572,"Material efficiency and price increase","iron and steel","Mt"
"308","US",2040,99.62703213,"Reference","iron and steel","Mt"
"309","US",2040,83.73224677,"Material efficiency","iron and steel","Mt"
"310","US",2045,79.40294649,"Material efficiency and price increase","iron and steel","Mt"
"311","US",2045,100.35511714,"Reference","iron and steel","Mt"
"312","US",2045,81.25528945,"Material efficiency","iron and steel","Mt"
"313","US",2050,76.12761353585,"Material efficiency and price increase","iron and steel","Mt"
"314","US",2050,100.5922001,"Reference","iron and steel","Mt"
"315","US",2050,78.3119078,"Material efficiency","iron and steel","Mt"
