"","Mitigation measure","region","reduction","year"
"339","Energy efficiency contribution","China",147.338575298764,"2045"
"340","Material efficiency contribution","China",236.186316248595,"2045"
"341","Price-induced contribution","China",168.119807640221,"2045"
"342","High scrap use contribution","China",611.322223138911,"2045"
"343","H2 contribution","China",269.998803596908,"2045"
"344","CCUS contribution","China",271.282278666667,"2045"
"345","1p5 emissions","China",63.5202815804793,"2045"
"346","Ref emissions","EU-27",179.925032379132,"2045"
"347","Energy efficiency contribution","EU-27",18.4058354044381,"2045"
"348","Material efficiency contribution","EU-27",31.685395407308,"2045"
"349","Price-induced contribution","EU-27",11.0069477404597,"2045"
"350","High scrap use contribution","EU-27",45.7882333663991,"2045"
"351","H2 contribution","EU-27",16.1056621812786,"2045"
"352","CCUS contribution","EU-27",36.4947616,"2045"
"353","1p5 emissions","EU-27",14.0316641569487,"2045"
"354","Ref emissions","India",1097.27668222824,"2045"
"355","Energy efficiency contribution","India",52.2401700181003,"2045"
"356","Material efficiency contribution","India",158.938830070716,"2045"
"357","Price-induced contribution","India",59.4281022372362,"2045"
"358","High scrap use contribution","India",96.4357544951073,"2045"
"359","H2 contribution","India",76.4981351799881,"2045"
"360","CCUS contribution","India",162.038811,"2045"
"361","1p5 emissions","India",119.491703489372,"2045"
"362","Ref emissions","Japan",115.802867106712,"2045"
"363","Energy efficiency contribution","Japan",10.660732018145,"2045"
"364","Material efficiency contribution","Japan",14.901651567438,"2045"
"365","Price-induced contribution","Japan",7.70176145901892,"2045"
"366","High scrap use contribution","Japan",27.4721272152748,"2045"
"367","H2 contribution","Japan",7.05121824274321,"2045"
"368","CCUS contribution","Japan",39.3279802666667,"2045"
"369","1p5 emissions","Japan",10.1002145599534,"2045"
"370","Ref emissions","South Korea",83.6969873578274,"2045"
"371","Energy efficiency contribution","South Korea",7.54731955572331,"2045"
"372","Material efficiency contribution","South Korea",20.878676436034,"2045"
"373","Price-induced contribution","South Korea",5.43049059116974,"2045"
"374","High scrap use contribution","South Korea",25.7184945392191,"2045"
"375","H2 contribution","South Korea",6.34894329733379,"2045"
"376","CCUS contribution","South Korea",6.45332233333333,"2045"
"377","1p5 emissions","South Korea",5.15476938510826,"2045"
"378","Ref emissions","Global",3805.87797273008,"2045"
"379","Energy efficiency contribution","Global",297.37709417887,"2045"
"380","Material efficiency contribution","Global",566.436194032173,"2045"
