"","region","year","scenario","input","value"
"475","Global",2030,"1p5","refined liquids with CCS",0.110139039945741
"476","Global",2030,"1p5 delay","biomass",0.16448701783121
"477","Global",2030,"1p5 delay","coal",29.2793457398895
"478","Global",2030,"1p5 delay","coal with CCS",0
"479","Global",2030,"1p5 delay","electricity",5.54595571835331
"480","Global",2030,"1p5 delay","gas",2.61031291871023
"481","Global",2030,"1p5 delay","gas with CCS",0.000000034294066
"482","Global",2030,"1p5 delay","hydrogen",0.7620420977172
"483","Global",2030,"1p5 delay","refined liquids",0.612113790555421
"484","Global",2030,"1p5 delay","refined liquids with CCS",0
"485","Global",2035,"Ref","biomass",0.507831354974108
"486","Global",2035,"Ref","coal",37.3449132764412
"487","Global",2035,"Ref","electricity",5.77529804208887
"488","Global",2035,"Ref","gas",2.18562000879425
"489","Global",2035,"Ref","gas with CCS",0.000000335958159
"490","Global",2035,"Ref","hydrogen",0.394527963192061
"491","Global",2035,"Ref","refined liquids",0.690993083687073
"492","Global",2035,"1p5","biomass",0.6554478912556
"493","Global",2035,"1p5","coal",5.92235403237096
"494","Global",2035,"1p5","coal with CCS",9.9467261764
"495","Global",2035,"1p5","electricity",6.17269227031273
"496","Global",2035,"1p5","gas",0.952808881922073
"497","Global",2035,"1p5","gas with CCS",1.36972649219942
"498","Global",2035,"1p5","hydrogen",2.15842160752235
"499","Global",2035,"1p5","refined liquids",0.546011790093246
"500","Global",2035,"1p5","refined liquids with CCS",0.188407638844474
"501","Global",2035,"1p5 delay","biomass",0.31303544927501
"502","Global",2035,"1p5 delay","coal",16.6596341226433
"503","Global",2035,"1p5 delay","coal with CCS",3.93304295101
"504","Global",2035,"1p5 delay","electricity",5.72562165126148
"505","Global",2035,"1p5 delay","gas",1.61504643075137
"506","Global",2035,"1p5 delay","gas with CCS",0.58149252054142
"507","Global",2035,"1p5 delay","hydrogen",1.55271276342116
"508","Global",2035,"1p5 delay","refined liquids",0.597659012367952
"509","Global",2035,"1p5 delay","refined liquids with CCS",0.08027639138353
"510","Global",2040,"Ref","biomass",0.631642017667975
"511","Global",2040,"Ref","coal",37.1386369339131
"512","Global",2040,"Ref","electricity",6.052274834282
"513","Global",2040,"Ref","gas",2.28670795182487
"514","Global",2040,"Ref","gas with CCS",0.00000051137876
"515","Global",2040,"Ref","hydrogen",0.532480031654334
"516","Global",2040,"Ref","refined liquids",0.779062728181719
