"","region","scenario","sector","subsector","output","technology","Units","year","share"
"172","China","1p5 delay","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2050,63.2034302249454
"173","China","Ref","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2050,5.7385241453063
"174","China","1p5","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2050,26.6934216630549
"175","China","1p5 delay","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2050,26.7759165763339
"176","China","Ref","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2050,0.0691827004778386
"177","Europe","1p5","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2015,0
"178","Europe","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2015,0
"179","Europe","Ref","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2015,0
"180","Europe","1p5","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2015,60.7071653826579
"181","Europe","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2015,60.7071653826579
"182","Europe","Ref","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2015,60.7071653826579
"183","Europe","1p5","iron and steel","BLASTFUR","iron and steel","BF-CCUS","Mt",2015,0
"184","Europe","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-CCUS","Mt",2015,0
"185","Europe","1p5","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2015,0
"186","Europe","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2015,0
"187","Europe","Ref","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2015,0
"188","Europe","1p5","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2015,17.2875550010167
"189","Europe","1p5 delay","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2015,17.2875550010167
"190","Europe","Ref","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2015,17.2875550010167
"191","Europe","1p5","iron and steel","EAF with DRI","iron and steel","DRI-EAF-CCUS","Mt",2015,0
"192","Europe","1p5 delay","iron and steel","EAF with DRI","iron and steel","DRI-EAF-CCUS","Mt",2015,0
"193","Europe","1p5","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2015,22.0052796163254
"194","Europe","1p5 delay","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2015,22.0052796163254
"195","Europe","Ref","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2015,22.0052796163254
"196","Europe","1p5","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2015,0
"197","Europe","1p5 delay","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2015,0
"198","Europe","Ref","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2015,0
"199","Europe","1p5","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2020,0.00522998380842592
"200","Europe","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2020,0.00522998380842592
"201","Europe","Ref","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2020,0.00580363505611579
"202","Europe","1p5","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2020,59.7264375290274
"203","Europe","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2020,59.7264375290274
"204","Europe","Ref","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2020,60.628592963389
"205","Europe","1p5","iron and steel","BLASTFUR","iron and steel","BF-CCUS","Mt",2020,0
"206","Europe","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-CCUS","Mt",2020,0
