elec gen by gen tech
scenario,region,subsector,output,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Western,wind,electricity,wind,0.0,9.00002E-6,2.87E-5,2.848E-4,2.81003E-4,0.00695759,0.032572290000000004,0.07102509000000001,0.12319539000000002,0.19711859,0.30003459,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Western,wind,electricity,wind_offshore,0.0,0.0,0.0,0.0,0.0,1.87207E-4,0.002752737,0.013124737,0.042833937,0.107803237,0.21412203000000002,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Western,wind,electricity,wind_storage,0.0,0.0,0.0,0.0,0.0,2.50067E-5,2.165767E-4,7.343817E-4,0.0019081916999999999,0.0044401917,0.0094573217,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Argentina,biomass,electricity,biomass (IGCC),0.0,0.0,0.0,0.0,0.0,4.66182E-4,0.00108415,0.00176569,0.00239206,0.00288228,0.00333315,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Argentina,biomass,electricity,biomass (conv),3.852E-4,0.0046332,0.007902,0.00769681,0.00687392,0.00773182,0.00874651,0.00961787,0.0096692,0.00906692,0.00870563,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Argentina,coal,electricity,coal (IGCC),0.0,0.0,0.0,0.0,0.0,7.36358E-4,0.00163917,0.00257278,0.00344254,0.00421156,0.0049321,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Argentina,coal,electricity,coal (conv pul),0.002376,0.007848,0.0108468,0.0118908,0.0128934,0.0147066,0.016511,0.0179153,0.018754,0.0190805,0.0192288,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Argentina,gas,electricity,gas (CC),0.0177333,0.154733,0.0793615,0.0813472,0.0881573,0.125303,0.185623,0.262787,0.345567,0.426231,0.50272,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Argentina,gas,electricity,gas (steam/CT),0.0538059,0.0444407,0.146031,0.175574,0.165818,0.183112,0.198069,0.203132,0.197994,0.188078,0.176466,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Argentina,geothermal,electricity,geothermal,0.0,0.0,0.0,0.0,0.00124534,0.00570849,0.0129706,0.0214847,0.0298722,0.0374409,0.0433815,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Argentina,hydro,electricity,hydro,0.0643536,0.122414,0.120913,0.13694,0.141161,0.145383,0.149604,0.153825,0.158046,0.162267,0.166488,0.0,0.0,0.0,EJ,
