"","region","scenario","sector","subsector","input","technology","Units","year","value"
"131","China","1p5","iron and steel","BLASTFUR","electricity","Biomass-based","EJ",2025,0.010201237
"132","China","Ref","iron and steel","BLASTFUR","electricity","Biomass-based","EJ",2025,0.001701355
"133","China","1p5 delay","iron and steel","BLASTFUR","refined liquids","Biomass-based","EJ",2025,0.00002371377
"134","China","1p5","iron and steel","BLASTFUR","refined liquids","Biomass-based","EJ",2025,0.00018608687
"135","China","Ref","iron and steel","BLASTFUR","refined liquids","Biomass-based","EJ",2025,0.00003103536
"136","China","1p5 delay","iron and steel","BLASTFUR","gas","Biomass-based","EJ",2025,0.00002371377
"137","China","1p5","iron and steel","BLASTFUR","gas","Biomass-based","EJ",2025,0.00018608687
"138","China","Ref","iron and steel","BLASTFUR","gas","Biomass-based","EJ",2025,0.00003103536
"139","China","1p5 delay","iron and steel","BLASTFUR","coal","BLASTFUR","EJ",2025,19.03243
"140","China","1p5","iron and steel","BLASTFUR","coal","BLASTFUR","EJ",2025,15.88954
"141","China","Ref","iron and steel","BLASTFUR","coal","BLASTFUR","EJ",2025,21.49308
"142","China","1p5 delay","iron and steel","BLASTFUR","electricity","BLASTFUR","EJ",2025,1.955892
"143","China","1p5","iron and steel","BLASTFUR","electricity","BLASTFUR","EJ",2025,1.632911
"144","China","Ref","iron and steel","BLASTFUR","electricity","BLASTFUR","EJ",2025,2.208765
"145","China","1p5 delay","iron and steel","BLASTFUR","refined liquids","BLASTFUR","EJ",2025,0.00933059
"146","China","1p5","iron and steel","BLASTFUR","refined liquids","BLASTFUR","EJ",2025,0.00778981
"147","China","Ref","iron and steel","BLASTFUR","refined liquids","BLASTFUR","EJ",2025,0.01053693
"148","China","1p5 delay","iron and steel","BLASTFUR","gas","BLASTFUR","EJ",2025,0.03270237
"149","China","1p5","iron and steel","BLASTFUR","gas","BLASTFUR","EJ",2025,0.02730219
"150","China","Ref","iron and steel","BLASTFUR","gas","BLASTFUR","EJ",2025,0.0369304
"151","China","1p5 delay","iron and steel","BLASTFUR","coal","BLASTFUR with hydrogen","EJ",2025,0.0288839
"152","China","1p5","iron and steel","BLASTFUR","coal","BLASTFUR with hydrogen","EJ",2025,0.0362987
"153","China","Ref","iron and steel","BLASTFUR","coal","BLASTFUR with hydrogen","EJ",2025,0.0123289
"154","China","1p5 delay","iron and steel","BLASTFUR","electricity","BLASTFUR with hydrogen","EJ",2025,0.00115934
"155","China","1p5","iron and steel","BLASTFUR","electricity","BLASTFUR with hydrogen","EJ",2025,0.00145696
"156","China","Ref","iron and steel","BLASTFUR","electricity","BLASTFUR with hydrogen","EJ",2025,0.000494855
"157","China","1p5 delay","iron and steel","BLASTFUR","hydrogen","BLASTFUR with hydrogen","EJ",2025,0.00697655
"158","China","1p5","iron and steel","BLASTFUR","hydrogen","BLASTFUR with hydrogen","EJ",2025,0.00876751
"159","China","Ref","iron and steel","BLASTFUR","hydrogen","BLASTFUR with hydrogen","EJ",2025,0.00297789
"160","China","1p5 delay","iron and steel","BLASTFUR","refined liquids","BLASTFUR with hydrogen","EJ",2025,0.0000211481
"161","China","1p5","iron and steel","BLASTFUR","refined liquids","BLASTFUR with hydrogen","EJ",2025,0.0000265771
"162","China","Ref","iron and steel","BLASTFUR","refined liquids","BLASTFUR with hydrogen","EJ",2025,0.00000902691
"163","China","1p5 delay","iron and steel","BLASTFUR","gas","BLASTFUR with hydrogen","EJ",2025,0.0000211481
"164","China","1p5","iron and steel","BLASTFUR","gas","BLASTFUR with hydrogen","EJ",2025,0.0000265771
"165","China","Ref","iron and steel","BLASTFUR","gas","BLASTFUR with hydrogen","EJ",2025,0.00000902691
"166","China","1p5 delay","iron and steel","EAF with DRI","coal","EAF with DRI","EJ",2025,0.036185416
"167","China","1p5","iron and steel","EAF with DRI","coal","EAF with DRI","EJ",2025,0.040605176
"168","China","Ref","iron and steel","EAF with DRI","coal","EAF with DRI","EJ",2025,0.003416854
"169","China","1p5 delay","iron and steel","EAF with DRI","electricity","EAF with DRI","EJ",2025,0.06395151
"170","China","1p5","iron and steel","EAF with DRI","electricity","EAF with DRI","EJ",2025,0.07176264
"171","China","Ref","iron and steel","EAF with DRI","electricity","EAF with DRI","EJ",2025,0.006038693
"172","China","1p5 delay","iron and steel","EAF with DRI","refined liquids","EAF with DRI","EJ",2025,0.032293152
"173","China","1p5","iron and steel","EAF with DRI","refined liquids","EAF with DRI","EJ",2025,0.036237461
"174","China","Ref","iron and steel","EAF with DRI","refined liquids","EAF with DRI","EJ",2025,0.003049318
"175","China","1p5 delay","iron and steel","EAF with DRI","gas","EAF with DRI","EJ",2025,0.6409424
"176","China","1p5","iron and steel","EAF with DRI","gas","EAF with DRI","EJ",2025,0.7192281
"177","China","Ref","iron and steel","EAF with DRI","gas","EAF with DRI","EJ",2025,0.06052176
"178","China","1p5 delay","iron and steel","EAF with scrap","electricity","EAF with scrap","EJ",2025,0.575237
"179","China","1p5","iron and steel","EAF with scrap","electricity","EAF with scrap","EJ",2025,0.702984
"180","China","Ref","iron and steel","EAF with scrap","electricity","EAF with scrap","EJ",2025,0.36557
"181","China","1p5 delay","iron and steel","EAF with scrap","refined liquids","EAF with scrap","EJ",2025,0.0548797
"182","China","1p5","iron and steel","EAF with scrap","refined liquids","EAF with scrap","EJ",2025,0.0670672
"183","China","Ref","iron and steel","EAF with scrap","refined liquids","EAF with scrap","EJ",2025,0.0348768
