"","region","scenario","sector","Units","year","emission","value","year "
"241","ROW","1p5 delay","iron and steel","MTCO2",2050,"value",46.5033212900371,"2050"
"242","ROW","1p5","iron and steel","MTCO2",2050,"value",43.2924263881566,"2050"
"243","ROW","Ref","iron and steel","MTCO2",2050,"value",592.977942318355,"2050"
"244","ROW","1p5 delay","iron and steel","MTCO2",2065,"value",0,"2065"
"245","ROW","1p5","iron and steel","MTCO2",2065,"value",0,"2065"
"246","ROW","Ref","iron and steel","MTCO2",2065,"value",0,"2065"
"247","ROW","1p5 delay","iron and steel","MTCO2",2080,"value",0,"2080"
"248","ROW","1p5","iron and steel","MTCO2",2080,"value",0,"2080"
"249","ROW","Ref","iron and steel","MTCO2",2080,"value",0,"2080"
"250","ROW","1p5 delay","iron and steel","MTCO2",2095,"value",0,"2095"
"251","ROW","1p5","iron and steel","MTCO2",2095,"value",0,"2095"
"252","ROW","Ref","iron and steel","MTCO2",2095,"value",0,"2095"
"253","South Korea","1p5 delay","iron and steel","MTCO2",1990,"value",27.038264,"1990"
"254","South Korea","1p5","iron and steel","MTCO2",1990,"value",27.038264,"1990"
"255","South Korea","Ref","iron and steel","MTCO2",1990,"value",27.038264,"1990"
"256","South Korea","1p5 delay","iron and steel","MTCO2",2005,"value",3.75674330647804,"2005"
"257","South Korea","1p5","iron and steel","MTCO2",2005,"value",3.75674330647804,"2005"
"258","South Korea","Ref","iron and steel","MTCO2",2005,"value",3.75674329123672,"2005"
"259","South Korea","1p5 delay","iron and steel","MTCO2",2010,"value",4.31467479959734,"2010"
"260","South Korea","1p5","iron and steel","MTCO2",2010,"value",4.31467479959734,"2010"
"261","South Korea","Ref","iron and steel","MTCO2",2010,"value",4.31467479959734,"2010"
"262","South Korea","1p5 delay","iron and steel","MTCO2",2015,"value",89.0607081675508,"2015"
"263","South Korea","1p5","iron and steel","MTCO2",2015,"value",89.0607081675508,"2015"
"264","South Korea","Ref","iron and steel","MTCO2",2015,"value",89.0607081675508,"2015"
"265","South Korea","1p5 delay","iron and steel","MTCO2",2020,"value",90.5885785511079,"2020"
"266","South Korea","1p5","iron and steel","MTCO2",2020,"value",90.588577681088,"2020"
"267","South Korea","Ref","iron and steel","MTCO2",2020,"value",92.2348792525511,"2020"
"268","South Korea","1p5 delay","iron and steel","MTCO2",2025,"value",85.1051866812347,"2025"
