industry final energy by tech and fuel
scenario,region,sector,subsector,input,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Northern,agricultural energy use,electricity,elect_td_ind,electricity,0.0110104,0.0335734,0.0414855,0.0509879,0.0553562,0.0643672,0.07528334,0.08453287,0.09063183999999999,0.09583746000000001,0.09917463000000001,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Northern,agricultural energy use,gas,wholesale gas,gas,0.0,0.0,0.0014232,0.0025116,0.0026734539999999996,0.0027980030000000003,0.0028366570000000002,0.002793307,0.0027466820000000003,0.002647676,0.002521204,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Northern,agricultural energy use,hydrogen,H2 enduse,hydrogen,0.0,0.0,0.0,0.0,2.5969E-5,1.131324E-4,2.57673E-4,4.1536829E-4,5.4267E-4,6.898988E-4,8.380961E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Northern,agricultural energy use,refined liquids,refined liquids industrial,refined liquids,0.0188046,0.110068,0.139704,0.0898456,0.0952847,0.0984041,0.0990304,0.09912735,0.1011977,0.10233706,0.10356386000000001,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Northern,alumina,biomass,delivered biomass,biomass,0.0,4.71128E-5,2.51408E-4,2.00715E-4,2.309501E-4,2.459734E-4,2.572223E-4,2.6498660000000003E-4,2.696751E-4,2.7139665000000003E-4,2.6948571E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Northern,alumina,coal,delivered coal,coal,0.00194136,0.00179529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Northern,alumina,gas,wholesale gas,gas,0.0,0.0,3.50871E-5,2.83162E-5,3.258095E-5,3.46999E-5,3.628666E-5,3.7382020000000004E-5,3.8046319999999997E-5,3.8293493E-5,3.8028698E-5,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Northern,alumina,refined liquids,refined liquids industrial,refined liquids,0.00180376,9.97171E-4,6.88548E-4,7.40523E-4,8.520540000000001E-4,9.072972999999999E-4,9.486004000000001E-4,9.774222E-4,9.955689000000002E-4,0.0010029329,9.9706701E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Northern,aluminum,electricity,elect_td_ind,electricity,0.0102584,0.012624,0.0116822,0.0151754,0.017461189999999998,0.018595689999999998,0.01944478,0.020033000000000002,0.02039378,0.020531632,0.020396101999999996,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Northern,cement,cement,elect_td_ind,cement,0.0140982,0.0293312,0.0398772,0.0398772,0.0410759,0.044978149999999995,0.049542829999999996,0.055378430000000006,0.060741641,0.06419069499999999,0.0662664187,0.0,0.0,0.0,EJ,
