"","region","scenario","sector","subsector","input","technology","Units","year","value","input2"
"194","China","1p5","iron and steel","BLASTFUR","electricity","BLASTFUR with hydrogen","EJ",2025,0.00124505,"electricity"
"195","China","1p5 delay","iron and steel","BLASTFUR","electricity","BLASTFUR with hydrogen","EJ",2025,0.0011567,"electricity"
"196","China","Ref","iron and steel","BLASTFUR","electricity","BLASTFUR with hydrogen","EJ",2025,0.002172938,"electricity"
"197","China","1p5","iron and steel","BLASTFUR","hydrogen","BLASTFUR with hydrogen","EJ",2025,0.00749233,"hydrogen"
"198","China","1p5 delay","iron and steel","BLASTFUR","hydrogen","BLASTFUR with hydrogen","EJ",2025,0.00696067,"hydrogen"
"199","China","Ref","iron and steel","BLASTFUR","hydrogen","BLASTFUR with hydrogen","EJ",2025,0.0130761,"hydrogen"
"200","China","1p5","iron and steel","BLASTFUR","refined liquids","BLASTFUR with hydrogen","EJ",2025,0.0000227116,"refined liquids"
"201","China","1p5 delay","iron and steel","BLASTFUR","refined liquids","BLASTFUR with hydrogen","EJ",2025,0.0000211,"refined liquids"
"202","China","Ref","iron and steel","BLASTFUR","refined liquids","BLASTFUR with hydrogen","EJ",2025,0.00003963774,"refined liquids"
"203","China","1p5","iron and steel","BLASTFUR","gas","BLASTFUR with hydrogen","EJ",2025,0.0000227116,"gas"
"204","China","1p5 delay","iron and steel","BLASTFUR","gas","BLASTFUR with hydrogen","EJ",2025,0.0000211,"gas"
"205","China","Ref","iron and steel","BLASTFUR","gas","BLASTFUR with hydrogen","EJ",2025,0.00003963774,"gas"
"206","China","1p5","iron and steel","EAF with DRI","coal","EAF with DRI","EJ",2025,0.036971536,"coal"
"207","China","1p5 delay","iron and steel","EAF with DRI","coal","EAF with DRI","EJ",2025,0.036725319,"coal"
"208","China","Ref","iron and steel","EAF with DRI","coal","EAF with DRI","EJ",2025,0.003414237,"coal"
"209","China","1p5","iron and steel","EAF with DRI","electricity","EAF with DRI","EJ",2025,0.0653409,"electricity"
"210","China","1p5 delay","iron and steel","EAF with DRI","electricity","EAF with DRI","EJ",2025,0.06490568,"electricity"
"211","China","Ref","iron and steel","EAF with DRI","electricity","EAF with DRI","EJ",2025,0.006034067,"electricity"
"212","China","1p5","iron and steel","EAF with DRI","refined liquids","EAF with DRI","EJ",2025,0.032994696,"refined liquids"
"213","China","1p5 delay","iron and steel","EAF with DRI","refined liquids","EAF with DRI","EJ",2025,0.032774925,"refined liquids"
"214","China","Ref","iron and steel","EAF with DRI","refined liquids","EAF with DRI","EJ",2025,0.003046982,"refined liquids"
"215","China","1p5","iron and steel","EAF with DRI","gas","EAF with DRI","EJ",2025,0.6548666,"gas"
"216","China","1p5 delay","iron and steel","EAF with DRI","gas","EAF with DRI","EJ",2025,0.6505058,"gas"
"217","China","Ref","iron and steel","EAF with DRI","gas","EAF with DRI","EJ",2025,0.06047536,"gas"
"218","China","1p5","iron and steel","EAF with DRI","coal with CCS","EAF with DRI CCS","EJ",2025,0.010448,"coal with CCS"
"219","China","1p5 delay","iron and steel","EAF with DRI","coal with CCS","EAF with DRI CCS","EJ",2025,0,"coal with CCS"
"220","China","1p5","iron and steel","EAF with DRI","electricity","EAF with DRI CCS","EJ",2025,0.018465,"electricity"
"221","China","1p5 delay","iron and steel","EAF with DRI","electricity","EAF with DRI CCS","EJ",2025,0,"electricity"
