"","region","year","share","scenario","generation"
"363","Japan",2095,NA,"Ref","clean"
"364","Japan",2095,NA,"Ref","conventional"
"365","Japan",1990,37.1690855117878,"1p5","clean"
"366","Japan",1990,62.8309144882122,"1p5","conventional"
"367","Japan",2005,38.5019769154552,"1p5","clean"
"368","Japan",2005,61.4980230845448,"1p5","conventional"
"369","Japan",2010,37.060954887858,"1p5","clean"
"370","Japan",2010,62.939045112142,"1p5","conventional"
"371","Japan",2015,18.3276653822027,"1p5","clean"
"372","Japan",2015,81.6723346177973,"1p5","conventional"
"373","Japan",2020,18.0823482827543,"1p5","clean"
"374","Japan",2020,81.9176517172457,"1p5","conventional"
"375","Japan",2025,27.5744731773619,"1p5","clean"
"376","Japan",2025,72.4255268226381,"1p5","conventional"
"377","Japan",2030,48.6467763844526,"1p5","clean"
"378","Japan",2030,51.3532236155474,"1p5","conventional"
"379","Japan",2035,74.6841172238932,"1p5","clean"
"380","Japan",2035,25.3158827761068,"1p5","conventional"
"381","Japan",2040,96.5885661080486,"1p5","clean"
"382","Japan",2040,3.41143389195141,"1p5","conventional"
"383","Japan",2045,99.9655477802721,"1p5","clean"
"384","Japan",2045,0.0344522197279025,"1p5","conventional"
"385","Japan",2050,99.9999231283255,"1p5","clean"
"386","Japan",2050,0.0000768716745202896,"1p5","conventional"
"387","Japan",2065,NA,"1p5","clean"
"388","Japan",2065,NA,"1p5","conventional"
"389","Japan",2080,NA,"1p5","clean"
"390","Japan",2080,NA,"1p5","conventional"
"391","Japan",2095,NA,"1p5","clean"
"392","Japan",2095,NA,"1p5","conventional"
"393","Japan",1990,37.1690855117878,"1p5 delay","clean"
"394","Japan",1990,62.8309144882122,"1p5 delay","conventional"
"395","Japan",2005,38.5019769154552,"1p5 delay","clean"
"396","Japan",2005,61.4980230845448,"1p5 delay","conventional"
"397","Japan",2010,37.060954887858,"1p5 delay","clean"
"398","Japan",2010,62.939045112142,"1p5 delay","conventional"
"399","Japan",2015,18.3276653822027,"1p5 delay","clean"
"400","Japan",2015,81.6723346177973,"1p5 delay","conventional"
"401","Japan",2020,18.0823482827543,"1p5 delay","clean"
"402","Japan",2020,81.9176517172457,"1p5 delay","conventional"
"403","Japan",2025,19.5473202607645,"1p5 delay","clean"
"404","Japan",2025,80.4526797392354,"1p5 delay","conventional"
"405","Japan",2030,21.765459040524,"1p5 delay","clean"
"406","Japan",2030,78.234540959476,"1p5 delay","conventional"
"407","Japan",2035,36.4212680673547,"1p5 delay","clean"
"408","Japan",2035,63.5787319326453,"1p5 delay","conventional"
"409","Japan",2040,68.5741810822267,"1p5 delay","clean"
"410","Japan",2040,31.4258189177733,"1p5 delay","conventional"
"411","Japan",2045,99.5256318114077,"1p5 delay","clean"
"412","Japan",2045,0.474368188592326,"1p5 delay","conventional"
"413","Japan",2050,99.9999765353553,"1p5 delay","clean"
"414","Japan",2050,0.0000234646446857949,"1p5 delay","conventional"
"415","Japan",2065,NA,"1p5 delay","clean"
"416","Japan",2065,NA,"1p5 delay","conventional"
"417","Japan",2080,NA,"1p5 delay","clean"
"418","Japan",2080,NA,"1p5 delay","conventional"
"419","Japan",2095,NA,"1p5 delay","clean"
"420","Japan",2095,NA,"1p5 delay","conventional"
"421","ROW",1990,40.5167142364422,"Ref","clean"
"422","ROW",1990,59.4832857635578,"Ref","conventional"
"423","ROW",2005,38.7229608004295,"Ref","clean"
"424","ROW",2005,61.2770391995705,"Ref","conventional"
"425","ROW",2010,36.216361952644,"Ref","clean"
"426","ROW",2010,63.783638047356,"Ref","conventional"
"427","ROW",2015,34.930748950653,"Ref","clean"
"428","ROW",2015,65.069251049347,"Ref","conventional"
"429","ROW",2020,37.3689673285728,"Ref","clean"
"430","ROW",2020,62.6310326714272,"Ref","conventional"
"431","ROW",2025,39.0106739905077,"Ref","clean"
"432","ROW",2025,60.9893260094923,"Ref","conventional"
"433","ROW",2030,40.248143999408,"Ref","clean"
"434","ROW",2030,59.751856000592,"Ref","conventional"
"435","ROW",2035,41.4962446675563,"Ref","clean"
"436","ROW",2035,58.5037553324437,"Ref","conventional"
"437","ROW",2040,42.8689798621288,"Ref","clean"
"438","ROW",2040,57.1310201378712,"Ref","conventional"
"439","ROW",2045,43.9432148932718,"Ref","clean"
"440","ROW",2045,56.0567851067282,"Ref","conventional"
"441","ROW",2050,45.2184454065464,"Ref","clean"
"442","ROW",2050,54.7815545934535,"Ref","conventional"
"443","ROW",2065,NA,"Ref","clean"
"444","ROW",2065,NA,"Ref","conventional"
"445","ROW",2080,NA,"Ref","clean"
"446","ROW",2080,NA,"Ref","conventional"
"447","ROW",2095,NA,"Ref","clean"
"448","ROW",2095,NA,"Ref","conventional"
"449","ROW",1990,40.5167142364422,"1p5","clean"
"450","ROW",1990,59.4832857635578,"1p5","conventional"
"451","ROW",2005,38.7229608004295,"1p5","clean"
"452","ROW",2005,61.2770391995705,"1p5","conventional"
"453","ROW",2010,36.216361952644,"1p5","clean"
"454","ROW",2010,63.783638047356,"1p5","conventional"
"455","ROW",2015,34.930748950653,"1p5","clean"
"456","ROW",2015,65.069251049347,"1p5","conventional"
"457","ROW",2020,37.3688368490808,"1p5","clean"
"458","ROW",2020,62.6311631509192,"1p5","conventional"
"459","ROW",2025,61.8028333538545,"1p5","clean"
"460","ROW",2025,38.1971666461455,"1p5","conventional"
"461","ROW",2030,79.3765160124501,"1p5","clean"
"462","ROW",2030,20.6234839875499,"1p5","conventional"
"463","ROW",2035,91.3202848546601,"1p5","clean"
"464","ROW",2035,8.6797151453399,"1p5","conventional"
"465","ROW",2040,98.9378309598473,"1p5","clean"
"466","ROW",2040,1.06216904015265,"1p5","conventional"
"467","ROW",2045,99.9853221181911,"1p5","clean"
"468","ROW",2045,0.0146778818088666,"1p5","conventional"
"469","ROW",2050,99.9999367412757,"1p5","clean"
"470","ROW",2050,0.0000632587242712276,"1p5","conventional"
"471","ROW",2065,NA,"1p5","clean"
"472","ROW",2065,NA,"1p5","conventional"
"473","ROW",2080,NA,"1p5","clean"
"474","ROW",2080,NA,"1p5","conventional"
"475","ROW",2095,NA,"1p5","clean"
"476","ROW",2095,NA,"1p5","conventional"
"477","ROW",1990,40.5167142364422,"1p5 delay","clean"
"478","ROW",1990,59.4832857635578,"1p5 delay","conventional"
"479","ROW",2005,38.7229608004295,"1p5 delay","clean"
"480","ROW",2005,61.2770391995705,"1p5 delay","conventional"
"481","ROW",2010,36.216361952644,"1p5 delay","clean"
"482","ROW",2010,63.783638047356,"1p5 delay","conventional"
"483","ROW",2015,34.930748950653,"1p5 delay","clean"
"484","ROW",2015,65.069251049347,"1p5 delay","conventional"
"485","ROW",2020,37.3687762123529,"1p5 delay","clean"
"486","ROW",2020,62.6312237876471,"1p5 delay","conventional"
"487","ROW",2025,38.94083101361,"1p5 delay","clean"
"488","ROW",2025,61.05916898639,"1p5 delay","conventional"
"489","ROW",2030,40.0986085780525,"1p5 delay","clean"
"490","ROW",2030,59.9013914219475,"1p5 delay","conventional"
"491","ROW",2035,63.9637736135014,"1p5 delay","clean"
