"","region","year","scenario","input","value","share"
"171","China",2050,"Ref","electricity",497.243709905761,10.3851301259437
"172","China",2050,"Ref","gas",14.904105812164,0.31127810203872
"173","China",2050,"Ref","hydrogen",36.2817440809276,0.757758471289725
"174","China",2050,"Ref","refined liquids",9.7856243007154,0.204376605881624
"175","China",2050,"1p5","biomass",0.00158805545933224,0.0000962410219204358
"176","China",2050,"1p5","coal",0.00317595580659595,0.000192472643574716
"177","China",2050,"1p5","coal with CCS",234.44997367094,14.208386062788
"178","China",2050,"1p5","electricity",732.699065202846,44.403806164881
"179","China",2050,"1p5","gas",0.00129995663885337,0.0000787813515203745
"180","China",2050,"1p5","gas with CCS",56.0697914113528,3.39800099082391
"181","China",2050,"1p5","hydrogen",576.661900729132,34.9474763633816
"182","China",2050,"1p5","refined liquids",47.2764950530388,2.8651003149689
"183","China",2050,"1p5","refined liquids with CCS",2.918377473589,0.176862608139571
"184","China",2050,"1p5 delay","biomass",0.0014459903790136,0.0000914625087909586
"185","China",2050,"1p5 delay","coal",0.00280409877077722,0.000177366262041025
"186","China",2050,"1p5 delay","coal with CCS",214.407814859448,13.5618306567225
"187","China",2050,"1p5 delay","electricity",730.522886954109,46.2074000904595
"188","China",2050,"1p5 delay","gas",0.000374984169153762,0.0000237186867668458
"189","China",2050,"1p5 delay","gas with CCS",42.4253001068796,2.68350636373635
"190","China",2050,"1p5 delay","hydrogen",542.830783997835,34.3354050441701
"191","China",2050,"1p5 delay","refined liquids",48.5505880102902,3.07094614676936
"192","China",2050,"1p5 delay","refined liquids with CCS",2.2231397507326,0.140619150684541
"193","EU-27",2015,"Ref","biomass",0,0
"194","EU-27",2015,"Ref","coal",422.09877656764,64.8940226865168
"195","EU-27",2015,"Ref","electricity",115.9746483352,17.8300954135063
"196","EU-27",2015,"Ref","gas",96.974988968818,14.9090627206752
"197","EU-27",2015,"Ref","hydrogen",0,0
"198","EU-27",2015,"Ref","refined liquids",15.39481509362,2.36681917930178
"199","EU-27",2015,"1p5","biomass",0,0
"200","EU-27",2015,"1p5","coal",422.09877656764,64.8940226865168
"201","EU-27",2015,"1p5","coal with CCS",0,0
"202","EU-27",2015,"1p5","electricity",115.9746483352,17.8300954135063
"203","EU-27",2015,"1p5","gas",96.974988968818,14.9090627206752
"204","EU-27",2015,"1p5","gas with CCS",0,0
"205","EU-27",2015,"1p5","hydrogen",0,0
"206","EU-27",2015,"1p5","refined liquids",15.39481509362,2.36681917930178
"207","EU-27",2015,"1p5","refined liquids with CCS",0,0
"208","EU-27",2015,"1p5 delay","biomass",0,0
"209","EU-27",2015,"1p5 delay","coal",422.09877656764,64.8940226865168
"210","EU-27",2015,"1p5 delay","coal with CCS",0,0
"211","EU-27",2015,"1p5 delay","electricity",115.9746483352,17.8300954135063
"212","EU-27",2015,"1p5 delay","gas",96.974988968818,14.9090627206752
"213","EU-27",2015,"1p5 delay","gas with CCS",0,0
"214","EU-27",2015,"1p5 delay","hydrogen",0,0
"215","EU-27",2015,"1p5 delay","refined liquids",15.39481509362,2.36681917930178
"216","EU-27",2015,"1p5 delay","refined liquids with CCS",0,0
"217","EU-27",2020,"Ref","biomass",0.0474407601748,0.00708521249324431
"218","EU-27",2020,"Ref","coal",435.773825535448,65.0822234200348
