hydrogen production by tech
"current_policies,date=2021-21-10T09:40:21-07:00",Canada,H2 central production,gas,natural gas steam reforming,0.0,0.0,9.50333E-5,6.99659E-4,0.00171271,0.00299591,0.00427245,0.00531654,0.00603535,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Canada,H2 central production,nuclear,thermal splitting,0.0,0.0,1.14185E-5,9.85072E-5,2.17331E-4,3.50493E-4,4.77567E-4,5.82763E-4,6.90483E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Canada,H2 central production,solar,electrolysis,0.0,0.0,1.09371E-5,9.47202E-5,2.0988E-4,3.40071E-4,4.65707E-4,5.71419E-4,6.80965E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Canada,H2 central production,wind,electrolysis,0.0,0.0,7.13251E-6,6.12568E-5,1.35666E-4,2.20096E-4,3.022E-4,3.77295E-4,4.52787E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Canada,H2 forecourt production,electricity,electrolysis,0.0,0.0,7.71809E-6,6.60109E-5,1.62156E-4,2.90328E-4,4.34246E-4,5.75708E-4,7.13093E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Canada,H2 forecourt production,gas,natural gas steam reforming,0.0,0.0,8.66455E-5,7.03844E-4,0.0017386,0.00311337,0.00456965,0.00591706,0.00714549,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Central America and Caribbean,H2 central production,biomass,biomass to H2,0.0,0.0,2.98079E-6,4.1902E-5,1.41968E-4,3.16581E-4,5.27937E-4,7.17035E-4,9.39643E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Central America and Caribbean,H2 central production,coal,coal chemical,0.0,0.0,1.65634E-5,2.36371E-4,7.94991E-4,0.00179868,0.00321627,0.00472555,0.00669836,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Central America and Caribbean,H2 central production,electricity,electrolysis,0.0,0.0,5.6794E-8,8.85704E-7,3.1307E-6,7.67041E-6,1.5E-5,2.44754E-5,3.77108E-5,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Central America and Caribbean,H2 central production,gas,natural gas steam reforming,0.0,0.0,2.71643E-5,3.45388E-4,0.00116292,0.00250408,0.0040981,0.00580056,0.00750727,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Central America and Caribbean,H2 central production,nuclear,thermal splitting,0.0,0.0,3.05217E-6,4.13609E-5,1.32249E-4,2.79422E-4,4.6437E-4,6.35525E-4,8.34325E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Central America and Caribbean,H2 central production,solar,electrolysis,0.0,0.0,2.9235E-6,3.97708E-5,1.27715E-4,2.71114E-4,4.52838E-4,6.23153E-4,8.22824E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Central America and Caribbean,H2 central production,wind,electrolysis,0.0,0.0,2.58631E-6,3.34234E-5,1.04243E-4,2.17011E-4,3.57267E-4,4.88463E-4,6.45028E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Central America and Caribbean,H2 forecourt production,electricity,electrolysis,0.0,0.0,1.53498E-6,2.18611E-5,7.27735E-5,1.65722E-4,2.98353E-4,4.50137E-4,6.35372E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Central America and Caribbean,H2 forecourt production,gas,natural gas steam reforming,0.0,0.0,2.6383E-5,3.5908E-4,0.00124841,0.00281205,0.00482917,0.00705483,0.00962266,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Central Asia,H2 central production,biomass,biomass to H2,0.0,0.0,1.57399E-5,2.29575E-4,6.04806E-4,0.00110189,0.00157101,0.00192536,0.00219587,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Central Asia,H2 central production,coal,coal chemical,0.0,0.0,1.09555E-4,0.00165177,0.00437913,0.00814394,0.0124356,0.0164272,0.0201443,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Central Asia,H2 central production,electricity,electrolysis,0.0,0.0,4.72714E-7,7.69224E-6,2.34545E-5,4.82009E-5,7.70074E-5,1.05804E-4,1.31041E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Central Asia,H2 central production,gas,natural gas steam reforming,0.0,0.0,1.52672E-4,0.00212851,0.00559705,0.00968275,0.0130577,0.0156912,0.0171481,0.0,0.0,0.0,EJ,
