"","region","scenario","sector","Units","year","value.x","value.y","percent_reduction","absolute_reduction"
"40","China","3_1p5C_delay","iron and steel","MTCO2",2045,146.034599823709,2052.75513074059,-92.8859220646048,-1906.72053091688
"41","China","0_1p5C","iron and steel","MTCO2",2050,23.0194121904932,2052.75512717065,-98.8786089540928,-2029.73571498016
"42","China","0_1p5C_delay","iron and steel","MTCO2",2050,22.7260306410087,2052.75512717065,-98.8929010411323,-2030.02909652965
"43","China","1_1p5C","iron and steel","MTCO2",2050,23.004375345796,2052.75512717056,-98.8793414742311,-2029.75075182476
"44","China","1_1p5C_delay","iron and steel","MTCO2",2050,22.7079913962707,2052.75512717065,-98.8937798232384,-2030.04713577438
"45","China","2_1p5C","iron and steel","MTCO2",2050,23.3285205357956,2052.75306069192,-98.8635495918865,-2029.42454015613
"46","China","2_1p5C_delay","iron and steel","MTCO2",2050,23.3764136900677,2052.75306069192,-98.8612164737346,-2029.37664700185
"47","China","3_1p5C","iron and steel","MTCO2",2050,23.023076638213,2052.75512717048,-98.8784304404613,-2029.73205053226
"48","China","3_1p5C_delay","iron and steel","MTCO2",2050,22.7262417924781,2052.75513074059,-98.8928907568104,-2030.02888894811
"49","EU-27","0_1p5C","iron and steel","MTCO2",2025,139.596254777737,175.667200484786,-20.5336827862598,-36.070945707049
"50","EU-27","0_1p5C_delay","iron and steel","MTCO2",2025,167.088238778299,175.667200591675,-4.88364463285124,-8.57896181337534
"51","EU-27","1_1p5C","iron and steel","MTCO2",2025,139.568681459331,175.667200590351,-20.549379172496,-36.0985191310203
"52","EU-27","1_1p5C_delay","iron and steel","MTCO2",2025,167.08838194296,175.667200590982,-4.88356313481486,-8.57881864802246
"53","EU-27","2_1p5C","iron and steel","MTCO2",2025,138.559087651177,175.666995147991,-21.1240065133195,-37.1079074968142
"54","EU-27","2_1p5C_delay","iron and steel","MTCO2",2025,166.090425956535,175.666995147898,-5.4515472205239,-9.57656919136309
"55","EU-27","3_1p5C","iron and steel","MTCO2",2025,139.596668866607,175.667200484093,-20.5334470624481,-36.0705316174859
"56","EU-27","3_1p5C_delay","iron and steel","MTCO2",2025,167.088325415,175.667199012308,-4.88359445903538,-8.57887359730773
"57","EU-27","0_1p5C","iron and steel","MTCO2",2030,91.303526151842,175.667200484786,-48.024716110991,-84.3636743329438
"58","EU-27","0_1p5C_delay","iron and steel","MTCO2",2030,144.78932382419,175.667200591675,-17.5774855314386,-30.8778767674848
"59","EU-27","1_1p5C","iron and steel","MTCO2",2030,91.237252171747,175.667200590351,-48.0624431509507,-84.429948418604
"60","EU-27","1_1p5C_delay","iron and steel","MTCO2",2030,144.78903429275,175.667200590982,-17.5776503492692,-30.8781662982322
"61","EU-27","2_1p5C","iron and steel","MTCO2",2030,90.6391881828207,175.666995147991,-48.4028356570558,-85.0278069651703
"62","EU-27","2_1p5C_delay","iron and steel","MTCO2",2030,143.333385162704,175.666995147898,-18.4061951751219,-32.3336099851941
"63","EU-27","3_1p5C","iron and steel","MTCO2",2030,91.2800363179333,175.667200484093,-48.0380878921112,-84.3871641661597
"64","EU-27","3_1p5C_delay","iron and steel","MTCO2",2030,144.789207583477,175.667199012308,-17.5775509613879,-30.8779914288313
"65","EU-27","0_1p5C","iron and steel","MTCO2",2035,48.8267214959655,175.667200484786,-72.2049868380556,-126.84047898882
"66","EU-27","0_1p5C_delay","iron and steel","MTCO2",2035,91.098953020126,175.667200591675,-48.141171081858,-84.5682475715488
"67","EU-27","1_1p5C","iron and steel","MTCO2",2035,48.7476676800893,175.667200590351,-72.2499888902044,-126.919532910262
"68","EU-27","1_1p5C_delay","iron and steel","MTCO2",2035,91.0592214363633,175.667200590982,-48.1637886127743,-84.6079791546187
"69","EU-27","2_1p5C","iron and steel","MTCO2",2035,48.6833619799425,175.666995147991,-72.2865630285706,-126.983633168049
"70","EU-27","2_1p5C_delay","iron and steel","MTCO2",2035,90.2906892851941,175.666995147898,-48.6012217553011,-85.3763058627041
"71","EU-27","3_1p5C","iron and steel","MTCO2",2035,48.7990973122016,175.667200484093,-72.2207121319609,-126.868103171891
"72","EU-27","3_1p5C_delay","iron and steel","MTCO2",2035,91.0842039527656,175.667199012308,-48.1495666436944,-84.5829950595427
"73","EU-27","0_1p5C","iron and steel","MTCO2",2040,30.4333292787401,175.667200484786,-82.6755767754289,-145.233871206046
"74","EU-27","0_1p5C_delay","iron and steel","MTCO2",2040,55.5925750422854,175.667200591675,-68.353469028344,-120.074625549389
"75","EU-27","1_1p5C","iron and steel","MTCO2",2040,30.3726017667936,175.667200590351,-82.7101464219144,-145.294598823557
"76","EU-27","1_1p5C_delay","iron and steel","MTCO2",2040,55.5520349367892,175.667200590982,-68.3765468169924,-120.115165654193
"77","EU-27","2_1p5C","iron and steel","MTCO2",2040,30.5302658661721,175.666995147991,-82.6203745100485,-145.136729281819
"78","EU-27","2_1p5C_delay","iron and steel","MTCO2",2040,55.2699840268503,175.666995147898,-68.5370698233227,-120.397011121048
"79","EU-27","3_1p5C","iron and steel","MTCO2",2040,30.4152362975681,175.667200484093,-82.6858763538375,-145.251964186525
"80","EU-27","3_1p5C_delay","iron and steel","MTCO2",2040,55.5807060576953,175.667199012308,-68.3602252610625,-120.086492954613
"81","EU-27","0_1p5C","iron and steel","MTCO2",2045,12.8614068771442,175.667200484786,-92.6785382577676,-162.805793607642
"82","EU-27","0_1p5C_delay","iron and steel","MTCO2",2045,25.5133202281509,175.667200591675,-85.4763324387148,-150.153880363524
"83","EU-27","1_1p5C","iron and steel","MTCO2",2045,12.8058611052302,175.667200590351,-92.7101581500733,-162.861339485121
"84","EU-27","1_1p5C_delay","iron and steel","MTCO2",2045,25.4684455877643,175.667200590982,-85.5018776970983,-150.198755003218
"85","EU-27","2_1p5C","iron and steel","MTCO2",2045,12.9705449674042,175.666995147991,-92.6164018707799,-162.696450180587
"86","EU-27","2_1p5C_delay","iron and steel","MTCO2",2045,25.5139239673962,175.666995147898,-85.475971769247,-150.153071180502
"87","EU-27","3_1p5C","iron and steel","MTCO2",2045,12.8534807115262,175.667200484093,-92.6830502927664,-162.813719772567
"88","EU-27","3_1p5C_delay","iron and steel","MTCO2",2045,25.5052660630968,175.667199012308,-85.480917207936,-150.161932949211
"89","EU-27","0_1p5C","iron and steel","MTCO2",2050,3.6228156709004,175.667200484786,-97.9376823556688,-172.044384813885
"90","EU-27","0_1p5C_delay","iron and steel","MTCO2",2050,3.51113191445359,175.667200591675,-98.0012592546431,-172.156068677221
"91","EU-27","1_1p5C","iron and steel","MTCO2",2050,3.62041562619086,175.667200590351,-97.9390486021158,-172.04678496416
"92","EU-27","1_1p5C_delay","iron and steel","MTCO2",2050,3.50836283492035,175.667200590982,-98.0028355759542,-172.158837756062
"93","EU-27","2_1p5C","iron and steel","MTCO2",2050,3.60448100868389,175.666995147991,-97.9481171146308,-172.062514139307
