IRONSTL production by tech
"0_1p5C,date=2021-21-10T04:35:21-07:00",Brazil,iron and steel,BLASTFUR,iron and steel,BLASTFUR,20.2,24.7,25.1,26.5,26.9606,23.48435,16.859479999999998,9.106517,4.70126,1.45066374,0.0407483364,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Brazil,iron and steel,BLASTFUR,iron and steel,BLASTFUR CCS,0.0,0.0,0.0,0.0,0.0,0.67529,4.802697,11.456502,14.375689,10.387544000000002,5.671723,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Brazil,iron and steel,BLASTFUR,iron and steel,BLASTFUR with hydrogen,0.0,0.0,0.0,0.0,0.0,0.0384915,0.16457270000000002,0.2721481,0.23574341999999998,0.113430204,0.0057399956000000005,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Brazil,iron and steel,BLASTFUR,iron and steel,Biomass-based,0.0,0.0,0.0,0.0,0.00427142,0.26152112,0.52418747,0.5083577260000001,0.31756940000000006,0.1176635469,0.00467415899,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Brazil,iron and steel,EAF with DRI,iron and steel,EAF with DRI,3.99,5.29,5.94,5.11,5.0981499999999995,5.786405,5.308026,4.1773880000000005,3.1366880000000004,1.3122369999999999,0.0821427,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Brazil,iron and steel,EAF with DRI,iron and steel,EAF with DRI CCS,0.0,0.0,0.0,0.0,0.0,0.463764,1.347257,2.317906,3.308784,5.355826,6.065929,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Brazil,iron and steel,EAF with DRI,iron and steel,Hydrogen-based DRI,0.0,0.0,0.0,0.0,0.0,1.2562,4.6643,7.466805,9.426842,14.313842000000001,21.005426,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Brazil,iron and steel,EAF with scrap,iron and steel,EAF with scrap,1.26,1.67,1.87,1.61,1.719878,2.8289340000000003,4.498698,5.4904955,5.879206,6.112398000000001,5.321797,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Canada,iron and steel,BLASTFUR,iron and steel,BLASTFUR,8.77,8.97,7.65,6.72,7.303610000000001,5.682882,3.279825,1.2542119999999999,0.4780259,0.0125572454,2.8774900399999998E-5,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Canada,iron and steel,BLASTFUR,iron and steel,BLASTFUR CCS,0.0,0.0,0.0,0.0,0.0,0.11761,0.6294491999999999,1.4227183,1.6297595,1.0986417,0.5309225,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Canada,iron and steel,BLASTFUR,iron and steel,BLASTFUR with hydrogen,0.0,0.0,0.0,0.0,0.0,0.00362537,0.0123231,0.018673000000000002,0.014154292,5.678592E-4,3.1468165000000002E-6,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Canada,iron and steel,BLASTFUR,iron and steel,Biomass-based,0.0,0.0,0.0,0.0,7.26188E-4,0.024536633999999998,0.042401739,0.038723140999999996,0.022596017,9.889863100000001E-4,2.48970853E-6,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Canada,iron and steel,EAF with DRI,iron and steel,EAF with DRI,1.59,1.59,1.34,1.44,1.279809,0.5488770000000001,0.19918180000000002,0.0638338,0.018181945,5.8253583E-4,1.4591253549999999E-5,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Canada,iron and steel,EAF with DRI,iron and steel,EAF with DRI CCS,0.0,0.0,0.0,0.0,0.0,0.0689736,0.1336699,0.19361089999999997,0.22223118,0.14784889,0.03169209,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Canada,iron and steel,EAF with DRI,iron and steel,Hydrogen-based DRI,0.0,0.0,0.0,0.0,0.0,0.700679,1.730572,2.5052190000000003,2.833082,3.0991299999999997,3.257686,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Canada,iron and steel,EAF with scrap,iron and steel,EAF with scrap,4.78,4.77,4.02,4.32,4.9606,6.49516,7.9076830000000005,8.68856,9.008379999999999,9.78731,10.318423,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Central America and Caribbean,iron and steel,BLASTFUR,iron and steel,BLASTFUR,0.0010033,3.0E-4,4.0E-4,5.0E-4,0.11345978699999999,0.8687824000000001,2.0319206128,3.2196563,4.072599,4.3573640000000005,3.75519,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Central America and Caribbean,iron and steel,BLASTFUR,iron and steel,BLASTFUR CCS,0.0,0.0,0.0,0.0,0.0,0.00740842,0.059640030000000004,0.27190531,0.92579598,2.1442789199999996,4.029593,0.0,0.0,0.0,Mt,
